Nome,Conta,ID,URL,Categoria
República de Curitiba,@republica_ctba,945809862390370304,https://republicadecuritiba.net/,Hiperpartidário de direita
Imprensa Viva,@muylaerte,85241358,https://www.imprensaviva.com/,Hiperpartidário de direita
MBL News,@MBLivre,1523823530,https://www.mblnews.org/,Hiperpartidário de direita
O Antagonista,@o_antagonista,2880932962,http://www.oantagonista.com,Hiperpartidário de direita
Folha Centro Sul,@SITEFCS,1444645189,http://www.folhacentrosul.com.br/,Hiperpartidário de direita
Conexão Política,@conexaopolitica,1523748277,https://conexaopolitica.com.br/,Hiperpartidário de direita
Jornal da Cidade Online,@JornalDaCidadeO,994303120376303616,https://www.jornaldacidadeonline.com.br/,Hiperpartidário de direita
Jornalistas Livres,@J_LIVRES,3090382647,http://jornalistaslivres.org/,Hiperpartidário de esquerda
Revista Fórum,@revistaforum,19593634,https://www.revistaforum.com.br/,Hiperpartidário de esquerda
DCM,@DCM_online,43340387,https://www.diariodocentrodomundo.com.br/,Hiperpartidário de esquerda
Brasil 247,@brasil247,248890506,https://www.brasil247.com/,Hiperpartidário de esquerda
Blog da Cidadania,@eduguim,23138365,https://blogdacidadania.com.br/,Hiperpartidário de esquerda
Rede Brasil Atual,@redebrasilatual,34366699,www.redebrasilatual.com.br/,Hiperpartidário de esquerda
The Intercept Brasil,@TheInterceptBr,751454653011951616,https://theintercept.com/brasil/,Hiperpartidário de esquerda
Folha,@folha_poder,90963197,https://www1.folha.uol.com.br/poder/,Grande Imprensa
Estado,@EstadaoPolitica,76369002,https://www.estadao.com.br/,Grande Imprensa
O Globo,@OGloboPolitica,156719729,https://oglobo.globo.com/brasil,Grande Imprensa
Época,@RevistaEpoca,21207962,https://epoca.globo.com/,Grande Imprensa
VEJA,@VEJA,17715048,http://veja.abril.com.br/politica,Grande Imprensa
G1,@g1politica,31504246,https://g1.globo.com/politica,Grande Imprensa
UOL,@UOLNoticias,14594698,https://www.uol.com.br/politica,Grande Imprensa
